,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
342,343,2019-11-20,Сибирь,Ак Барс,0:1,0:1,1:2,:,:
343,344,2019-11-20,Салават Юлаев,Куньлунь РС,1:0,0:0,0:0,:,:
344,345,2019-11-20,Витязь,ЦСКА,1:2,0:0,1:0,0:1,:
345,346,2019-11-20,Спартак,Локомотив,1:0,1:1,1:2,0:0,1:0
346,347,2019-11-20,ХК Сочи,Северсталь,0:2,1:0,3:0,:,:
347,348,2019-11-20,Динамо Р,Динамо М,0:0,1:2,2:1,0:1,:
348,349,2019-11-21,Адмирал,Металлург Мг,0:1,2:1,3:2,:,:
349,350,2019-11-21,Авангард,Автомобилист,0:1,0:0,1:0,0:1,:
350,351,2019-11-21,Спартак,Динамо Мн,2:2,2:0,3:0,:,:
351,352,2019-11-22,Сибирь,Торпедо НН,0:0,1:0,0:4,:,:
352,353,2019-11-22,Барыс,Ак Барс,0:3,0:0,1:2,:,:
353,354,2019-11-22,Салават Юлаев,Амур,1:1,1:1,3:1,:,:
354,355,2019-11-22,Нефтехимик,Куньлунь РС,0:0,0:0,0:2,:,:
355,356,2019-11-22,Витязь,Динамо Р,2:0,1:1,1:0,:,:
356,357,2019-11-22,СКА,Северсталь,2:1,2:0,1:1,:,:
357,358,2019-11-22,ХК Сочи,Локомотив,1:1,1:1,0:3,:,:
358,359,2019-11-22,Йокерит,Динамо М,1:1,1:0,1:0,:,:
359,360,2019-11-23,Авангард,Динамо Мн,1:1,0:1,0:0,:,:
360,361,2019-11-24,Сибирь,Адмирал,0:0,1:2,0:0,:,:
361,362,2019-11-24,Барыс,Амур,1:0,1:1,0:1,0:1,:
362,363,2019-11-24,Автомобилист,ЦСКА,0:0,1:0,1:1,:,:
363,364,2019-11-24,Салават Юлаев,Ак Барс,0:2,1:0,2:1,0:0,0:1
364,365,2019-11-24,Трактор,Торпедо НН,2:0,1:0,1:0,:,:
365,366,2019-11-24,ХК Сочи,Динамо Р,1:1,1:1,0:0,0:1,:
366,367,2019-11-24,Йокерит,Локомотив,1:1,0:1,1:0,0:0,0:1
367,368,2019-11-25,Авангард,Витязь,1:0,1:0,1:0,:,:
368,369,2019-11-25,СКА,Куньлунь РС,1:1,2:0,1:0,:,:
369,370,2019-11-25,Спартак,Нефтехимик,1:0,0:0,0:0,:,:
370,371,2019-11-26,Автомобилист,Торпедо НН,0:2,1:2,2:0,:,:
371,372,2019-11-26,Металлург Мг,Барыс,1:0,0:1,0:0,0:1,:
372,373,2019-11-26,Трактор,ЦСКА,1:0,0:3,1:0,:,:
373,374,2019-11-26,Северсталь,Динамо Р,1:0,0:1,0:0,0:1,:
374,375,2019-11-26,Динамо М,Локомотив,1:0,2:1,1:0,:,:
375,376,2019-11-26,Йокерит,Амур,1:0,1:1,2:0,:,:
376,377,2019-11-26,Динамо Мн,Адмирал,2:0,0:2,0:0,0:1,:
377,378,2019-11-27,Ак Барс,Сибирь,0:0,0:1,1:0,0:0,1:0
378,379,2019-11-27,Витязь,Нефтехимик,1:1,0:0,0:0,1:0,:
379,380,2019-11-27,СКА,ХК Сочи,1:0,2:2,1:0,:,:
380,381,2019-11-28,Куньлунь РС,Авангард,1:2,1:0,0:0,0:0,0:1
381,382,2019-11-28,Автомобилист,Барыс,0:1,0:0,1:0,0:1,:
382,383,2019-11-28,Металлург Мг,ЦСКА,0:2,0:1,1:0,:,:
383,384,2019-11-28,Трактор,Салават Юлаев,2:0,0:1,2:1,:,:
384,385,2019-11-28,Северсталь,Адмирал,0:0,1:0,0:0,:,:
385,386,2019-11-29,Ак Барс,ХК Сочи,0:0,0:0,0:1,:,:
386,387,2019-11-29,Локомотив,Динамо Мн,2:1,2:1,2:1,:,:
387,388,2019-11-29,Торпедо НН,Динамо М,0:1,0:0,1:0,0:0,0:1
388,389,2019-11-29,Йокерит,Сибирь,1:1,0:1,0:2,:,:
389,390,2019-11-30,Амур,Спартак,1:0,0:0,4:0,:,:
390,391,2019-11-30,Куньлунь РС,Авангард,0:0,2:2,0:0,1:0,:
391,392,2019-11-30,Металлург Мг,Салават Юлаев,0:0,0:0,1:0,:,:
392,393,2019-11-30,Динамо Р,СКА,1:0,2:1,0:4,:,:
393,394,2019-12-01,Барыс,Динамо Мн,0:0,3:1,2:0,:,:
394,395,2019-12-01,Ак Барс,Динамо М,4:1,1:1,0:0,:,:
395,396,2019-12-01,Локомотив,Автомобилист,0:1,0:0,0:0,:,:
396,397,2019-12-01,Нефтехимик,ХК Сочи,3:1,0:0,1:0,:,:
397,398,2019-12-01,Северсталь,Сибирь,1:4,1:0,2:2,:,:
398,399,2019-12-02,Адмирал,Спартак,0:1,0:1,0:0,:,:
399,400,2019-12-02,Амур,Авангард,0:1,0:1,1:0,:,:
400,401,2019-12-02,Куньлунь РС,Витязь,0:0,1:1,0:0,0:0,1:0
401,402,2019-12-02,Салават Юлаев,Йокерит,0:1,1:1,1:1,:,:
402,403,2019-12-02,ЦСКА,СКА,1:1,1:0,0:3,:,:
403,404,2019-12-03,Салават Юлаев,Трактор,2:1,2:1,1:0,:,:
404,405,2019-12-03,Локомотив,Металлург Мг,0:0,0:1,2:1,0:0,1:0
405,406,2019-12-03,Торпедо НН,Автомобилист,1:0,1:1,0:1,0:1,:
406,407,2019-12-03,ХК Сочи,Динамо Мн,2:0,2:1,0:0,:,:
407,408,2019-12-04,Амур,Витязь,1:1,0:0,1:1,0:0,0:1
408,409,2019-12-04,Куньлунь РС,Спартак,2:0,0:3,1:0,1:0,:
409,410,2019-12-04,Сибирь,Авангард,2:1,3:0,0:1,:,:
410,411,2019-12-04,Барыс,Йокерит,0:0,0:2,2:2,:,:
411,412,2019-12-04,СКА,Ак Барс,0:0,0:0,1:1,0:0,1:0
412,413,2019-12-04,ЦСКА,Динамо М,1:1,0:0,1:0,:,:
413,414,2019-12-04,Динамо Р,Северсталь,0:0,0:0,0:1,:,:
414,415,2019-12-05,Салават Юлаев,Металлург Мг,1:0,0:1,0:0,0:0,0:1
415,416,2019-12-05,Нефтехимик,Трактор,1:1,3:1,2:2,:,:
416,417,2019-12-05,ХК Сочи,Автомобилист,1:0,0:0,0:1,0:0,1:0
417,418,2019-12-06,Адмирал,Витязь,2:0,0:0,1:1,:,:
418,419,2019-12-06,Сибирь,Йокерит,0:2,3:1,0:1,:,:
419,420,2019-12-06,Торпедо НН,Ак Барс,1:0,1:2,1:2,:,:
420,422,2019-12-06,Динамо Мн,Северсталь,0:3,1:0,2:0,0:0,0:1
421,579,2019-12-06,Локомотив,Динамо М,0:2,0:2,0:0,:,:
422,423,2019-12-07,Адмирал,Куньлунь РС,1:0,2:2,1:2,0:0,1:0
423,424,2019-12-07,Автомобилист,Динамо Р,2:0,1:0,2:4,:,:
424,425,2019-12-07,Металлург Мг,Трактор,0:0,0:0,0:1,:,:
425,426,2019-12-07,ХК Сочи,Барыс,0:0,1:2,0:2,:,:
426,427,2019-12-08,Нефтехимик,Салават Юлаев,0:0,0:0,1:2,:,:
427,428,2019-12-08,Северсталь,Локомотив,2:1,0:0,0:1,0:0,0:1
428,429,2019-12-08,Авангард,Ак Барс,1:0,1:0,1:0,:,:
429,431,2019-12-08,Динамо Мн,ЦСКА,2:2,0:2,0:1,:,:
430,430,2019-12-09,Динамо М,СКА,1:0,0:1,1:1,0:0,0:1
431,432,2019-12-09,Амур,Куньлунь РС,1:1,1:1,0:1,:,:
432,433,2019-12-09,Металлург Мг,Динамо Р,2:0,3:0,0:1,:,:
433,434,2019-12-09,Трактор,Сибирь,0:0,0:1,1:1,:,:
434,435,2019-12-09,Авангард,Барыс,2:0,0:1,0:2,:,:
435,436,2019-12-09,Витязь,Торпедо НН,1:0,2:1,0:1,:,:
436,437,2019-12-09,Йокерит,Спартак,2:1,1:0,0:1,:,:
437,438,2019-12-17,Куньлунь РС,Адмирал,2:0,2:0,0:0,:,:
438,439,2019-12-17,Автомобилист,Амур,2:0,1:0,0:0,:,:
439,440,2019-12-17,Металлург Мг,Нефтехимик,1:2,2:1,0:0,0:0,1:0
440,441,2019-12-17,Салават Юлаев,Сибирь,0:1,1:2,1:0,:,:
441,442,2019-12-17,Динамо М,Йокерит,0:0,0:0,1:1,0:1,:
442,443,2019-12-17,СКА,Северсталь,0:2,0:1,3:0,1:0,:
443,444,2019-12-17,Спартак,Витязь,3:0,2:0,1:0,:,:
444,445,2019-12-17,Динамо Мн,Локомотив,0:1,0:1,2:0,0:1,:
445,446,2019-12-17,Динамо Р,ЦСКА,1:1,0:2,0:1,:,:
446,447,2019-12-18,Куньлунь РС,Адмирал,2:1,2:2,2:0,:,:
447,448,2019-12-18,Торпедо НН,Барыс,0:0,0:1,0:3,:,:
448,449,2019-12-18,Динамо Мн,ХК Сочи,0:3,2:1,0:1,:,:
449,450,2019-12-19,Автомобилист,Нефтехимик,2:1,2:2,0:0,:,:
450,451,2019-12-19,Трактор,Амур,0:1,1:0,1:1,0:0,0:1
451,452,2019-12-19,Ак Барс,Салават Юлаев,0:0,2:1,0:0,:,:
452,453,2019-12-19,Авангард,Сибирь,1:1,1:0,1:0,:,:
453,454,2019-12-19,Витязь,Динамо Р,0:0,0:0,1:0,:,:
454,455,2019-12-19,Динамо М,Северсталь,1:1,4:0,3:0,:,:
455,456,2019-12-19,СКА,ЦСКА,0:0,0:0,0:1,:,:
456,457,2019-12-19,Йокерит,Локомотив,2:1,1:2,1:1,0:0,0:1
457,458,2019-12-20,Витязь,Барыс,1:1,0:3,1:1,:,:
458,459,2019-12-20,Спартак,ХК Сочи,0:1,0:2,4:1,1:0,:
459,460,2019-12-21,Адмирал,Динамо Мн,1:0,4:0,0:1,:,:
460,461,2019-12-21,Куньлунь РС,Торпедо НН,2:1,0:4,0:2,:,:
461,462,2019-12-21,Трактор,Нефтехимик,1:0,0:0,0:1,1:0,:
462,463,2019-12-21,Ак Барс,Сибирь,0:0,0:1,0:2,:,:
463,464,2019-12-21,Локомотив,Северсталь,1:1,1:0,1:1,:,:
464,465,2019-12-21,Авангард,Салават Юлаев,1:0,0:1,1:0,:,:
465,466,2019-12-21,Йокерит,Динамо Р,3:1,0:0,2:2,:,:
466,467,2019-12-22,Витязь,ЦСКА,1:0,0:3,0:3,:,:
467,468,2019-12-22,Динамо М,ХК Сочи,0:0,1:1,2:0,:,:
468,469,2019-12-22,СКА,Металлург Мг,0:0,1:0,1:1,:,:
469,470,2019-12-22,Спартак,Барыс,1:0,1:1,1:0,:,:
470,471,2019-12-23,Адмирал,Торпедо НН,0:2,0:1,0:2,:,:
471,472,2019-12-23,Амур,Динамо Мн,0:1,0:2,4:0,:,:
472,473,2019-12-23,Куньлунь РС,Автомобилист,0:2,1:1,0:1,:,:
473,474,2019-12-23,Салават Юлаев,Ак Барс,2:2,1:1,0:0,1:0,:
474,475,2019-12-23,Северсталь,Трактор,0:1,1:1,1:2,:,:
475,476,2019-12-24,ЦСКА,Металлург Мг,0:1,2:1,1:0,:,:
476,477,2019-12-25,Адмирал,Автомобилист,0:0,1:1,0:0,0:1,:
477,478,2019-12-25,Амур,Торпедо НН,2:0,0:0,0:0,:,:
478,479,2019-12-25,Куньлунь РС,Динамо Мн,1:0,1:0,0:1,:,:
479,480,2019-12-25,Сибирь,Спартак,0:1,0:3,0:1,:,:
480,481,2019-12-25,Барыс,СКА,2:3,0:3,0:0,:,:
481,482,2019-12-25,Нефтехимик,Ак Барс,1:1,0:0,0:0,0:0,1:0
482,483,2019-12-25,Северсталь,ХК Сочи,2:2,1:0,1:0,:,:
483,484,2019-12-25,Авангард,Трактор,0:1,1:0,0:2,:,:
484,485,2019-12-25,ЦСКА,Динамо М,0:0,0:1,0:2,:,:
485,486,2019-12-26,Локомотив,Йокерит,0:1,2:1,1:1,0:1,:
486,487,2019-12-26,Динамо Р,Металлург Мг,0:1,0:0,0:1,:,:
487,488,2019-12-27,Амур,Автомобилист,0:2,1:1,2:0,0:0,1:0
488,489,2019-12-27,Сибирь,СКА,0:0,0:0,0:2,:,:
489,490,2019-12-27,Барыс,Динамо М,0:2,2:0,1:1,0:1,:
490,491,2019-12-27,Трактор,Спартак,1:1,1:2,0:2,:,:
491,492,2019-12-28,Сибирь,Куньлунь РС,1:0,1:0,0:2,0:0,1:0
492,493,2019-12-28,Ак Барс,Локомотив,1:0,2:0,0:0,:,:
493,494,2019-12-28,Нефтехимик,Авангард,1:2,0:2,1:2,:,:
494,495,2019-12-28,Торпедо НН,Динамо Р,2:2,3:0,0:0,:,:
495,496,2019-12-28,ХК Сочи,Йокерит,1:0,1:3,1:0,1:0,:
496,497,2019-12-28,ЦСКА,Витязь,0:0,1:0,2:0,:,:
497,498,2019-12-29,Адмирал,Амур,0:0,0:1,0:1,:,:
498,499,2019-12-29,Барыс,Автомобилист,2:1,2:1,0:0,:,:
499,500,2019-12-29,Металлург Мг,Динамо М,3:1,0:1,1:2,0:0,1:0
500,501,2019-12-29,Северсталь,СКА,1:1,1:1,0:0,1:0,:
501,502,2019-12-29,ХК Сочи,Спартак,0:0,0:0,0:0,1:0,:
502,503,2019-12-30,Барыс,Куньлунь РС,2:1,0:0,0:0,:,:
503,504,2019-12-30,Трактор,Авангард,1:0,0:3,0:2,:,:
504,505,2019-12-30,ЦСКА,Локомотив,1:0,1:1,1:2,1:0,:
505,506,2019-12-30,Йокерит,Витязь,0:1,3:0,1:0,:,:
506,507,2019-12-30,Динамо Мн,Динамо Р,0:1,0:0,0:1,:,:
507,508,2020-01-03,Сибирь,Нефтехимик,0:0,1:1,0:1,:,:
508,509,2020-01-03,Металлург Мг,Автомобилист,1:1,2:0,0:1,:,:
509,510,2020-01-03,Локомотив,Амур,0:0,0:0,2:0,:,:
510,511,2020-01-03,Северсталь,Динамо Мн,1:0,1:1,0:2,:,:
511,512,2020-01-03,Торпедо НН,Трактор,1:3,0:0,0:3,:,:
512,513,2020-01-03,Авангард,Адмирал,1:0,1:0,2:1,:,:
513,514,2020-01-03,Динамо М,Куньлунь РС,0:0,1:0,1:0,:,:
514,515,2020-01-03,Спартак,Витязь,2:1,0:1,0:1,:,:
515,516,2020-01-03,Йокерит,СКА,0:0,5:0,1:0,:,:
516,517,2020-01-04,ХК Сочи,ЦСКА,0:1,1:2,0:4,:,:
517,518,2020-01-04,Динамо Р,Барыс,1:0,0:0,0:0,:,:
518,519,2020-01-05,Автомобилист,Нефтехимик,0:0,3:0,0:0,:,:
519,520,2020-01-05,Металлург Мг,Сибирь,0:1,2:0,1:0,:,:
520,521,2020-01-05,Ак Барс,Трактор,0:1,0:2,3:0,1:0,:
521,522,2020-01-05,Локомотив,Куньлунь РС,0:0,3:0,2:0,:,:
522,523,2020-01-05,Северсталь,Амур,1:1,0:0,1:0,:,:
523,524,2020-01-05,Витязь,Адмирал,2:0,1:2,1:1,:,:
524,525,2020-01-05,Спартак,Динамо М,0:1,0:1,0:1,:,:
525,526,2020-01-05,Динамо Мн,СКА,0:2,0:1,1:1,:,:
526,527,2020-01-06,Салават Юлаев,ЦСКА,3:1,0:1,1:0,:,:
527,528,2020-01-06,Авангард,Барыс,1:1,1:1,0:1,:,:
528,529,2020-01-06,Динамо Р,Йокерит,0:4,0:3,0:0,:,:
529,530,2020-01-07,Автомобилист,Сибирь,2:2,0:1,1:0,0:1,:
530,531,2020-01-07,Ак Барс,Металлург Мг,0:0,1:0,1:0,:,:
531,532,2020-01-07,Торпедо НН,Адмирал,0:2,1:0,0:0,:,:
532,533,2020-01-07,Динамо М,Амур,2:0,0:2,2:0,:,:
533,534,2020-01-07,Спартак,СКА,2:1,0:0,1:0,:,:
534,535,2020-01-07,ХК Сочи,Трактор,0:0,0:1,0:1,:,:
535,536,2020-01-07,Динамо Мн,Куньлунь РС,0:0,1:2,0:3,:,:
536,537,2020-01-08,Салават Юлаев,Локомотив,0:0,1:0,0:1,0:1,:
537,538,2020-01-08,Нефтехимик,Барыс,0:0,1:3,0:2,:,:
538,539,2020-01-08,Динамо М,ЦСКА,1:0,0:3,0:1,:,:
539,540,2020-01-08,Спартак,Йокерит,2:1,0:1,0:0,0:1,:
540,541,2020-01-08,Динамо Р,Северсталь,0:0,2:1,0:1,0:0,0:1
541,542,2020-01-09,Автомобилист,Адмирал,2:0,0:1,3:1,:,:
542,543,2020-01-09,Металлург Мг,Амур,1:0,3:0,0:3,:,:
543,544,2020-01-09,Ак Барс,Торпедо НН,1:0,0:2,0:2,:,:
544,545,2020-01-10,Сибирь,Локомотив,0:0,1:1,1:0,:,:
545,546,2020-01-10,Салават Юлаев,Динамо М,0:1,1:1,2:2,:,:
546,547,2020-01-10,ХК Сочи,Спартак,0:0,0:0,1:1,0:0,1:0
547,548,2020-01-10,ЦСКА,Куньлунь РС,1:0,1:0,1:0,:,:
548,549,2020-01-10,Йокерит,Северсталь,1:0,2:1,1:0,:,:
549,550,2020-01-10,Динамо Мн,Витязь,0:0,2:0,1:2,:,:
550,551,2020-01-11,Барыс,Авангард,0:1,0:0,0:2,:,:
551,552,2020-01-11,Нефтехимик,Торпедо НН,0:0,3:2,1:0,:,:
552,553,2020-01-11,Йокерит,Северсталь,1:1,1:3,0:1,:,:
553,554,2020-01-12,Адмирал,Ак Барс,2:0,2:1,1:0,:,:
554,555,2020-01-12,Барыс,Локомотив,2:0,1:2,0:1,1:0,:
555,556,2020-01-12,Салават Юлаев,Динамо Р,1:0,2:0,2:0,:,:
556,557,2020-01-12,Трактор,ХК Сочи,1:1,1:0,0:1,0:0,0:1
557,558,2020-01-12,Нефтехимик,Витязь,0:1,1:1,1:1,:,:
558,559,2020-01-12,СКА,Динамо М,0:1,0:0,1:0,1:0,:
559,560,2020-01-12,ЦСКА,Автомобилист,2:0,0:2,0:0,0:0,0:1
560,561,2020-01-12,Динамо Мн,Спартак,0:2,0:2,1:1,:,:
561,562,2020-01-13,Амур,Авангард,0:0,1:0,0:1,0:0,0:1
562,563,2020-01-13,Куньлунь РС,Сибирь,2:0,1:2,0:2,:,:
563,564,2020-01-14,Амур,Ак Барс,1:1,0:0,1:1,0:0,0:1
564,565,2020-01-14,Куньлунь РС,Сибирь,1:1,0:1,3:2,0:0,0:1
565,566,2020-01-14,Барыс,Салават Юлаев,2:1,1:1,2:1,:,:
566,567,2020-01-14,Трактор,Металлург Мг,0:0,2:1,0:0,:,:
567,568,2020-01-14,Северсталь,Автомобилист,0:0,1:0,2:1,:,:
568,569,2020-01-14,Торпедо НН,ХК Сочи,1:0,0:1,0:0,1:0,:
569,570,2020-01-14,Витязь,Йокерит,0:1,1:0,1:2,:,:
570,571,2020-01-14,СКА,Динамо Р,0:0,1:0,2:0,:,:
571,572,2020-01-14,ЦСКА,Динамо Мн,1:0,1:0,3:1,:,:
572,573,2020-01-15,Адмирал,Авангард,1:0,1:3,0:2,:,:
573,574,2020-01-16,Адмирал,Авангард,0:2,1:0,0:1,:,:
574,575,2020-01-16,Амур,Сибирь,0:1,1:0,0:0,0:0,0:1
575,576,2020-01-16,Куньлунь РС,Ак Барс,0:1,2:0,1:0,:,:
576,577,2020-01-16,Барыс,Металлург Мг,0:0,2:1,2:2,:,:
577,578,2020-01-16,Автомобилист,Салават Юлаев,0:0,2:0,2:2,:,:
578,580,2020-01-16,Нефтехимик,Трактор,1:0,2:0,0:3,0:0,0:1
579,581,2020-01-16,Северсталь,Спартак,0:0,0:1,1:0,0:1,:
580,582,2020-01-16,Витязь,Динамо Мн,2:0,2:0,1:1,:,:
581,583,2020-01-16,СКА,Йокерит,0:0,3:0,1:1,:,:
582,584,2020-01-16,ЦСКА,ХК Сочи,1:0,0:0,5:1,:,:
583,656,2020-01-16,Торпедо НН,Динамо М,2:1,2:2,2:1,:,:
584,585,2020-01-21,Куньлунь РС,Амур,1:1,2:0,1:1,:,:
585,586,2020-01-21,Сибирь,Трактор,2:0,1:2,2:0,:,:
586,587,2020-01-21,Салават Юлаев,Адмирал,0:0,2:0,0:0,:,:
587,588,2020-01-21,Нефтехимик,Автомобилист,0:0,1:1,0:0,0:0,0:1
588,589,2020-01-21,Торпедо НН,Локомотив,1:0,0:1,2:0,:,:
589,590,2020-01-21,Витязь,Авангард,0:1,1:0,0:0,0:0,0:1
590,591,2020-01-21,Динамо М,Ак Барс,0:1,0:0,0:1,:,:
591,592,2020-01-21,ЦСКА,СКА,0:0,1:2,2:0,:,:
592,593,2020-01-21,Йокерит,Барыс,1:1,0:1,0:3,:,:
593,594,2020-01-21,Динамо Мн,Спартак,1:1,2:1,1:1,:,:
594,595,2020-01-21,Динамо Р,ХК Сочи,0:1,0:0,1:0,0:1,:
595,596,2020-01-22,Куньлунь РС,Амур,0:1,2:1,2:0,:,:
596,597,2020-01-23,Автомобилист,Трактор,2:0,0:1,2:0,:,:
597,598,2020-01-23,Ак Барс,Салават Юлаев,0:0,2:2,0:0,0:0,1:0
598,599,2020-01-23,Локомотив,ЦСКА,0:0,0:1,0:2,:,:
599,600,2020-01-23,Авангард,ХК Сочи,0:1,1:1,4:0,:,:
600,601,2020-01-23,Динамо М,Витязь,0:0,1:0,2:1,:,:
601,602,2020-01-23,СКА,Барыс,1:0,2:3,4:1,:,:
602,603,2020-01-23,Спартак,Северсталь,0:0,0:0,3:0,:,:
603,604,2020-01-23,Йокерит,Адмирал,1:1,1:1,1:1,1:0,:
604,605,2020-01-24,Нефтехимик,Сибирь,5:1,1:1,0:1,:,:
605,606,2020-01-24,Торпедо НН,Металлург Мг,0:2,1:0,0:1,:,:
606,607,2020-01-25,Автомобилист,Ак Барс,1:1,1:2,0:0,:,:
607,608,2020-01-25,Салават Юлаев,Барыс,2:0,0:1,3:1,:,:
608,609,2020-01-25,Витязь,Локомотив,0:2,1:0,1:3,:,:
609,610,2020-01-25,Спартак,Трактор,0:0,1:0,3:0,:,:
610,611,2020-01-25,Йокерит,Куньлунь РС,0:2,1:1,3:0,:,:
611,612,2020-01-25,Динамо Мн,Северсталь,1:0,0:2,0:1,:,:
612,613,2020-01-25,Динамо Р,Адмирал,0:1,0:0,1:0,0:0,0:1
613,614,2020-01-26,Авангард,Металлург Мг,2:0,3:1,1:0,:,:
614,615,2020-01-26,СКА,Торпедо НН,1:0,3:1,0:2,:,:
615,616,2020-01-26,ЦСКА,Сибирь,1:0,0:0,2:0,:,:
616,617,2020-01-26,Йокерит,Нефтехимик,2:2,1:0,0:0,:,:
617,618,2020-01-27,Автомобилист,Барыс,0:1,1:2,1:1,:,:
618,619,2020-01-27,Трактор,Ак Барс,0:1,0:2,2:1,:,:
619,620,2020-01-27,Северсталь,Витязь,0:1,0:1,1:2,:,:
620,621,2020-01-27,Спартак,Куньлунь РС,1:2,1:1,5:1,:,:
621,622,2020-01-27,ХК Сочи,Локомотив,1:1,1:0,0:3,:,:
622,623,2020-01-28,Амур,Салават Юлаев,2:0,0:1,2:1,:,:
623,624,2020-01-28,Авангард,Нефтехимик,1:1,2:0,0:1,:,:
624,625,2020-01-28,Динамо М,Торпедо НН,2:0,1:0,2:1,:,:
625,626,2020-01-28,СКА,Динамо Мн,4:0,0:0,1:0,:,:
626,627,2020-01-28,Динамо Р,Сибирь,0:0,0:0,0:1,:,:
627,628,2020-01-29,Адмирал,ЦСКА,0:0,1:3,1:2,:,:
628,629,2020-01-29,Амур,Салават Юлаев,0:0,0:0,0:0,0:0,1:0
629,630,2020-01-29,Витязь,Ак Барс,1:1,1:2,0:1,:,:
630,631,2020-01-30,Барыс,Нефтехимик,0:0,1:0,1:1,:,:
631,632,2020-01-30,Автомобилист,Динамо Мн,1:0,2:2,2:3,1:0,:
632,633,2020-01-30,Металлург Мг,Йокерит,0:2,3:0,0:1,0:1,:
633,634,2020-01-30,Трактор,Куньлунь РС,1:0,0:0,2:1,:,:
634,635,2020-01-30,Локомотив,Торпедо НН,4:0,1:0,0:0,:,:
635,636,2020-01-30,Динамо М,Динамо Р,1:1,1:0,3:1,:,:
636,637,2020-01-30,СКА,Авангард,0:0,0:0,0:0,1:0,:
637,638,2020-01-30,ХК Сочи,Северсталь,0:0,1:0,2:0,:,:
638,639,2020-01-31,Адмирал,Салават Юлаев,1:1,2:3,0:2,:,:
639,640,2020-01-31,Амур,ЦСКА,2:0,2:2,0:1,:,:
640,641,2020-02-01,Сибирь,Динамо Мн,0:0,3:1,0:1,:,:
641,642,2020-02-01,Барыс,Авангард,2:0,2:3,0:0,:,:
642,643,2020-02-01,Металлург Мг,Автомобилист,1:1,1:1,0:1,:,:
643,644,2020-02-01,Ак Барс,Динамо Р,1:0,0:0,1:0,:,:
644,645,2020-02-01,Локомотив,Йокерит,2:0,1:0,2:0,:,:
645,646,2020-02-01,Торпедо НН,Северсталь,1:0,3:0,1:0,:,:
646,647,2020-02-01,Спартак,Динамо М,0:2,0:2,0:0,:,:
647,648,2020-02-01,ХК Сочи,Витязь,0:2,4:2,1:0,:,:
648,649,2020-02-02,Адмирал,Салават Юлаев,1:0,0:1,2:2,0:0,1:0
649,650,2020-02-02,Куньлунь РС,ЦСКА,0:0,0:2,0:1,:,:
650,421,2020-02-03,Динамо М,Локомотив,1:1,1:0,1:0,:,:
651,651,2020-02-03,Адмирал,Амур,0:0,0:2,0:2,:,:
652,652,2020-02-03,Сибирь,Автомобилист,2:1,0:0,0:1,0:0,1:0
653,653,2020-02-03,Металлург Мг,Авангард,0:0,0:1,1:0,1:0,:
654,654,2020-02-03,Ак Барс,Витязь,2:1,2:0,1:1,:,:
655,655,2020-02-03,Нефтехимик,Северсталь,2:1,4:1,0:0,:,:
656,657,2020-02-03,Спартак,СКА,0:1,0:0,0:0,:,:
657,658,2020-02-03,Динамо Р,Йокерит,0:3,1:0,1:1,:,:
658,659,2020-02-11,Сибирь,Куньлунь РС,0:0,0:3,0:0,:,:
659,660,2020-02-11,Автомобилист,Барыс,0:0,2:2,0:2,:,:
660,661,2020-02-11,Салават Юлаев,Адмирал,1:0,2:0,0:0,:,:
661,662,2020-02-11,Нефтехимик,Локомотив,2:2,1:0,1:1,:,:
662,663,2020-02-11,Авангард,Ак Барс,1:0,0:0,0:1,0:0,1:0
663,664,2020-02-11,Витязь,ХК Сочи,0:0,0:1,1:0,1:0,:
664,665,2020-02-11,СКА,Амур,0:1,2:0,1:1,:,:
665,666,2020-02-11,Спартак,Металлург Мг,0:0,1:2,3:0,:,:
666,667,2020-02-11,ЦСКА,Торпедо НН,1:0,2:1,1:0,:,:
667,668,2020-02-11,Йокерит,Трактор,0:0,1:2,2:0,:,:
668,669,2020-02-11,Динамо Р,Динамо Мн,0:0,0:2,1:0,:,:
669,670,2020-02-13,Сибирь,ХК Сочи,2:0,0:0,0:2,0:0,0:1
670,671,2020-02-13,Автомобилист,Йокерит,0:1,0:2,3:1,:,:
671,672,2020-02-13,Салават Юлаев,Спартак,1:3,0:0,1:2,:,:
672,673,2020-02-13,Локомотив,Динамо Мн,2:0,1:0,1:1,:,:
673,674,2020-02-13,Нефтехимик,Металлург Мг,0:0,2:0,2:0,:,:
674,675,2020-02-13,Северсталь,Куньлунь РС,1:0,0:1,1:0,:,:
675,676,2020-02-13,Торпедо НН,СКА,1:2,1:0,0:1,:,:
676,677,2020-02-13,Авангард,Адмирал,1:1,3:1,1:0,:,:
677,678,2020-02-13,Витязь,Амур,0:1,3:1,0:1,0:0,0:1
678,680,2020-02-13,ЦСКА,Барыс,1:1,0:1,1:1,:,:
679,681,2020-02-13,Динамо Р,Ак Барс,1:1,0:0,0:1,:,:
680,682,2020-02-15,Сибирь,Северсталь,2:2,0:0,1:0,:,:
681,683,2020-02-15,Барыс,ХК Сочи,1:0,1:1,1:1,:,:
682,684,2020-02-15,Салават Юлаев,СКА,2:1,1:2,1:1,0:1,:
683,685,2020-02-15,Трактор,Куньлунь РС,1:0,1:2,0:0,0:0,1:0
684,686,2020-02-15,Ак Барс,Спартак,0:0,1:0,3:1,:,:
