,Номер,Дата,Команда_1,Команда_2,Период_1,Период_2,Период_3,Овертайм,Буллиты
343,345,2021-11-17,Йокерит,Адмирал,3:1,0:0,1:0,:,:
344,346,2021-11-18,Витязь,Салават Юлаев,0:1,1:1,1:2,:,:
345,347,2021-11-18,Спартак,Барыс,0:2,2:0,3:0,:,:
346,348,2021-11-18,Динамо Р,Ак Барс,0:3,0:0,1:0,:,:
347,349,2021-11-19,Автомобилист,Амур,2:0,1:0,1:0,:,:
348,350,2021-11-19,Трактор,Нефтехимик,0:0,0:0,0:1,:,:
349,351,2021-11-19,Авангард,Металлург Мг,1:1,1:1,2:0,:,:
350,352,2021-11-19,Торпедо,Адмирал,1:1,1:0,2:0,:,:
351,353,2021-11-19,СКА,Сибирь,1:0,0:0,0:2,:,:
352,354,2021-11-19,ХК Сочи,Локомотив,0:1,1:1,0:1,:,:
353,355,2021-11-19,Динамо Мн,ЦСКА,1:2,0:1,2:3,:,:
354,356,2021-11-20,Северсталь,Барыс,2:1,1:1,0:1,0:1,:
355,357,2021-11-20,Торпедо,Ак Барс,0:1,1:1,1:0,0:1,:
356,358,2021-11-20,Витязь,Куньлунь РС,2:1,0:0,0:1,0:1,:
357,359,2021-11-20,Динамо М,Салават Юлаев,0:1,2:0,1:0,:,:
358,360,2021-11-20,Йокерит,Спартак,2:0,0:1,0:3,:,:
359,361,2021-11-21,Автомобилист,Металлург Мг,0:1,0:0,0:2,:,:
360,362,2021-11-21,Трактор,Адмирал,1:0,1:0,0:1,:,:
361,363,2021-11-21,Нефтехимик,Локомотив,1:0,0:0,0:0,:,:
362,364,2021-11-21,ХК Сочи,Динамо Р,1:0,0:0,0:0,:,:
363,365,2021-11-21,ЦСКА,СКА,3:0,0:0,0:1,:,:
364,366,2021-11-21,Динамо Мн,Сибирь,1:0,0:0,0:1,0:0,0:1
365,367,2021-11-22,Амур,Авангард,0:1,1:1,0:1,:,:
366,368,2021-11-22,Витязь,Северсталь,1:0,0:0,0:1,0:0,0:1
367,369,2021-11-22,Динамо М,Куньлунь РС,2:1,1:0,1:0,:,:
368,370,2021-11-22,Спартак,Йокерит,0:3,1:2,0:1,:,:
369,371,2021-11-23,Барыс,Динамо Мн,1:2,1:0,0:0,0:0,1:0
370,372,2021-11-23,Салават Юлаев,Торпедо,0:0,0:0,0:1,:,:
371,373,2021-11-23,Ак Барс,Динамо Р,0:1,1:0,3:1,:,:
372,374,2021-11-23,Нефтехимик,СКА,1:2,0:3,1:3,:,:
373,375,2021-11-24,Адмирал,Авангард,0:1,1:0,0:0,0:0,1:0
374,376,2021-11-24,Амур,Автомобилист,1:0,2:0,0:0,:,:
375,377,2021-11-24,Сибирь,ХК Сочи,1:0,0:1,0:1,:,:
376,378,2021-11-24,Локомотив,Йокерит,0:0,1:1,0:0,1:0,:
377,379,2021-11-24,Северсталь,ЦСКА,1:0,1:0,1:0,:,:
378,380,2021-11-24,Динамо М,Трактор,2:1,3:1,1:4,1:0,:
379,381,2021-11-25,Барыс,Торпедо,2:0,1:1,1:1,:,:
380,382,2021-11-25,Металлург Мг,Динамо Мн,0:2,0:2,4:0,0:0,1:0
381,383,2021-11-25,Салават Юлаев,Витязь,1:0,1:1,0:1,0:0,0:1
382,384,2021-11-25,Ак Барс,СКА,0:1,2:2,1:0,0:1,:
383,385,2021-11-25,Куньлунь РС,Спартак,2:2,1:4,1:0,:,:
384,386,2021-11-25,Нефтехимик,Динамо Р,1:0,0:1,1:1,0:0,1:0
385,387,2021-11-26,Адмирал,Автомобилист,0:1,1:2,0:2,:,:
386,388,2021-11-26,Амур,ХК Сочи,0:0,0:1,0:1,:,:
387,389,2021-11-26,Сибирь,Авангард,2:2,1:1,2:1,:,:
388,390,2021-11-26,Локомотив,Трактор,1:0,0:0,0:1,0:1,:
389,391,2021-11-26,Йокерит,ЦСКА,0:1,2:0,0:1,0:1,:
390,392,2021-11-27,Барыс,Витязь,0:1,1:1,0:1,:,:
391,393,2021-11-27,Северсталь,Торпедо,0:0,0:1,3:0,:,:
392,394,2021-11-28,Адмирал,ХК Сочи,1:1,1:4,0:3,:,:
393,395,2021-11-28,Амур,Салават Юлаев,1:1,1:0,0:0,:,:
394,396,2021-11-28,Сибирь,Автомобилист,1:0,0:1,2:0,:,:
395,397,2021-11-28,Куньлунь РС,Металлург Мг,1:2,0:1,0:2,:,:
396,398,2021-11-28,Нефтехимик,Ак Барс,1:0,1:0,0:2,0:0,0:1
397,399,2021-11-28,Спартак,Динамо М,3:0,0:1,1:0,:,:
398,400,2021-11-28,Динамо Мн,Трактор,1:0,1:0,0:1,:,:
399,401,2021-11-28,Йокерит,Локомотив,0:0,0:0,2:0,:,:
400,402,2021-11-28,Динамо Р,ЦСКА,1:1,0:0,1:2,:,:
401,403,2021-11-29,Торпедо,Витязь,1:0,2:0,1:1,:,:
402,404,2021-11-29,СКА,Северсталь,0:1,0:1,1:1,:,:
403,405,2021-11-30,Адмирал,Салават Юлаев,0:0,0:1,0:1,:,:
404,406,2021-11-30,Авангард,Нефтехимик,2:0,2:0,2:1,:,:
405,407,2021-11-30,Динамо М,Ак Барс,1:0,1:0,2:1,:,:
406,408,2021-11-30,Спартак,Локомотив,1:1,0:0,0:0,0:0,0:1
407,409,2021-11-30,ЦСКА,Металлург Мг,1:0,1:2,4:2,:,:
408,410,2021-12-01,Витязь,Йокерит,0:3,1:0,1:0,:,:
409,411,2021-12-01,СКА,Динамо Мн,1:0,0:1,1:0,:,:
410,412,2021-12-01,Динамо Р,Северсталь,1:0,0:2,1:0,0:0,0:1
411,413,2021-12-02,Барыс,Динамо М,0:3,1:0,1:1,:,:
412,414,2021-12-02,Автомобилист,Спартак,0:0,2:1,1:0,:,:
413,415,2021-12-02,Трактор,Амур,0:2,0:0,0:0,:,:
414,416,2021-12-02,Куньлунь РС,Нефтехимик,0:0,2:1,0:0,:,:
415,417,2021-12-02,Торпедо,Металлург Мг,0:0,1:1,0:2,:,:
416,418,2021-12-02,ХК Сочи,Сибирь,0:0,0:2,1:0,:,:
417,419,2021-12-02,ЦСКА,Локомотив,0:0,0:0,0:0,1:0,:
418,420,2021-12-03,Авангард,Ак Барс,0:0,0:1,1:2,:,:
419,421,2021-12-03,Витязь,Динамо Мн,1:0,1:2,0:3,:,:
420,422,2021-12-03,СКА,Йокерит,1:0,1:1,1:0,:,:
421,423,2021-12-04,Автомобилист,Адмирал,0:1,1:0,1:0,:,:
422,424,2021-12-04,Салават Юлаев,Динамо М,0:2,0:2,0:0,:,:
423,425,2021-12-04,Трактор,Спартак,1:0,1:0,2:1,:,:
424,426,2021-12-04,Куньлунь РС,Сибирь,0:2,2:3,0:2,:,:
425,427,2021-12-04,Нефтехимик,Барыс,0:0,2:1,0:3,:,:
426,428,2021-12-04,Северсталь,Амур,0:0,1:0,0:2,:,:
427,429,2021-12-04,Торпедо,Динамо Р,1:2,1:1,1:0,0:0,0:1
428,430,2021-12-05,ХК Сочи,Динамо Мн,2:2,1:1,0:0,1:0,:
429,431,2021-12-06,Автомобилист,СКА,0:0,0:1,0:0,:,:
430,432,2021-12-06,Металлург Мг,Спартак,1:1,1:1,0:1,:,:
431,433,2021-12-06,Салават Юлаев,Адмирал,1:0,2:1,1:1,:,:
432,434,2021-12-06,Трактор,Куньлунь РС,0:0,2:1,0:1,1:0,:
433,435,2021-12-06,Авангард,Динамо Р,0:1,0:0,4:0,:,:
434,436,2021-12-06,Ак Барс,Барыс,0:0,0:1,1:1,:,:
435,437,2021-12-06,Локомотив,Сибирь,2:0,1:1,0:1,:,:
436,438,2021-12-06,Северсталь,Витязь,0:0,1:1,2:0,:,:
437,439,2021-12-06,Динамо М,ЦСКА,1:0,1:0,0:2,0:1,:
438,440,2021-12-06,Йокерит,Амур,1:0,0:0,1:0,:,:
439,441,2021-12-07,Салават Юлаев,ХК Сочи,2:0,1:0,2:0,:,:
440,442,2021-12-08,Металлург Мг,Куньлунь РС,1:0,1:2,4:2,:,:
441,443,2021-12-08,Трактор,СКА,0:0,0:2,1:2,:,:
442,444,2021-12-08,Локомотив,Авангард,2:1,0:1,1:0,:,:
443,445,2021-12-08,Нефтехимик,Сибирь,0:1,0:0,0:2,:,:
444,446,2021-12-08,Северсталь,Йокерит,0:2,1:0,2:1,0:1,:
445,447,2021-12-08,Динамо М,Адмирал,0:0,0:0,1:1,0:0,0:1
446,448,2021-12-08,ЦСКА,Торпедо,0:3,2:1,0:1,:,:
447,449,2021-12-08,Динамо Мн,Витязь,0:0,1:3,0:1,:,:
448,450,2021-12-08,Динамо Р,Амур,0:1,0:0,1:1,:,:
449,451,2021-12-09,Барыс,ХК Сочи,2:1,2:0,1:1,:,:
450,452,2021-12-10,Барыс,Куньлунь РС,0:1,4:2,3:1,:,:
451,453,2021-12-10,Металлург Мг,СКА,0:2,0:0,1:3,:,:
452,454,2021-12-10,Ак Барс,Нефтехимик,1:1,1:0,3:1,:,:
453,455,2021-12-10,Локомотив,Автомобилист,0:0,0:2,0:0,:,:
454,456,2021-12-10,Северсталь,Авангард,1:0,1:3,0:0,:,:
455,457,2021-12-10,Спартак,Йокерит,0:0,1:0,1:0,:,:
456,458,2021-12-10,Динамо Мн,Торпедо,0:0,0:1,1:1,:,:
457,459,2021-12-10,Динамо Р,Витязь,1:2,0:0,1:0,0:1,:
458,460,2021-12-11,Сибирь,Трактор,1:0,1:1,0:3,:,:
459,461,2021-12-12,Адмирал,Амур,1:1,1:0,0:0,:,:
460,462,2021-12-12,Сибирь,Куньлунь РС,1:0,1:0,0:2,1:0,:
461,463,2021-12-12,Барыс,Нефтехимик,0:0,0:1,1:2,:,:
462,464,2021-12-12,Металлург Мг,Авангард,1:0,2:0,0:2,:,:
463,465,2021-12-12,Ак Барс,Салават Юлаев,1:1,1:2,0:1,:,:
464,466,2021-12-12,Локомотив,ЦСКА,0:0,1:1,1:1,1:0,:
465,467,2021-12-12,СКА,Динамо М,0:0,1:0,0:1,0:0,0:1
466,468,2021-12-12,Спартак,Автомобилист,4:2,0:0,1:0,:,:
467,469,2021-12-12,ХК Сочи,Северсталь,0:2,2:2,3:0,:,:
468,470,2021-12-12,Динамо Мн,Йокерит,0:0,2:1,3:2,:,:
469,471,2021-12-12,Динамо Р,Торпедо,1:0,0:2,0:1,:,:
470,472,2021-12-20,Амур,Адмирал,0:1,0:0,0:0,:,:
471,473,2021-12-20,Куньлунь РС,Салават Юлаев,1:1,1:2,1:0,0:1,:
472,474,2021-12-20,СКА,Спартак,2:1,2:1,0:0,:,:
473,475,2021-12-20,Йокерит,ЦСКА,0:0,1:1,0:2,:,:
474,476,2021-12-20,Динамо Р,Динамо Мн,0:2,0:1,1:1,:,:
475,477,2021-12-21,Сибирь,Локомотив,0:0,0:1,1:0,1:0,:
476,478,2021-12-21,Автомобилист,Барыс,0:0,0:1,0:1,:,:
477,479,2021-12-21,Металлург Мг,Северсталь,2:0,1:2,0:1,1:0,:
478,480,2021-12-21,Авангард,Торпедо,0:1,2:1,0:0,1:0,:
479,481,2021-12-21,Ак Барс,Трактор,3:1,1:0,1:0,:,:
480,482,2021-12-21,Динамо М,ХК Сочи,2:2,0:0,0:0,0:1,:
481,483,2021-12-22,Амур,Нефтехимик,0:1,0:1,1:1,:,:
482,484,2021-12-22,Витязь,Динамо Р,1:1,0:1,1:0,0:1,:
483,485,2021-12-22,СКА,ЦСКА,0:0,2:0,0:2,1:0,:
484,486,2021-12-22,Спартак,Салават Юлаев,1:0,0:1,1:1,0:0,1:0
485,487,2021-12-22,Йокерит,Динамо Мн,1:1,0:0,0:0,1:0,:
486,488,2021-12-23,Адмирал,Локомотив,0:0,0:2,0:1,:,:
487,489,2021-12-23,Амур,Нефтехимик,1:1,3:0,0:3,0:1,:
488,490,2021-12-23,Трактор,Северсталь,1:0,4:1,1:0,:,:
489,491,2021-12-23,Авангард,Металлург Мг,1:1,1:0,2:1,:,:
490,492,2021-12-23,Ак Барс,Барыс,1:2,1:1,3:0,:,:
491,493,2021-12-23,Куньлунь РС,Торпедо,0:0,0:3,0:1,:,:
492,494,2021-12-23,Витязь,ХК Сочи,1:1,0:1,1:0,1:0,:
493,495,2021-12-23,Динамо М,Автомобилист,3:1,2:0,2:0,:,:
494,496,2021-12-24,Куньлунь РС,Динамо Мн,2:1,2:2,0:3,:,:
495,497,2021-12-25,Адмирал,Нефтехимик,1:1,0:0,1:1,0:0,1:0
496,498,2021-12-25,Амур,Локомотив,1:2,0:1,1:1,:,:
497,499,2021-12-25,Сибирь,СКА,0:1,3:2,0:1,:,:
498,500,2021-12-25,Салават Юлаев,Автомобилист,4:1,0:0,0:1,:,:
499,501,2021-12-25,Трактор,Барыс,2:0,1:1,1:1,:,:
500,502,2021-12-25,Ак Барс,Северсталь,0:2,3:1,0:0,0:1,:
501,503,2021-12-25,Витязь,Металлург Мг,1:3,1:0,1:2,:,:
502,504,2021-12-25,Динамо М,Торпедо,2:1,3:2,1:0,:,:
503,505,2021-12-25,ХК Сочи,Спартак,0:1,0:2,2:0,:,:
504,506,2021-12-26,ЦСКА,Динамо Мн,1:2,3:1,2:1,:,:
505,507,2021-12-26,Йокерит,Авангард,0:1,1:2,0:2,:,:
506,508,2021-12-26,Динамо Р,Куньлунь РС,0:1,0:1,2:0,0:0,1:0
507,509,2021-12-27,Адмирал,Нефтехимик,1:1,1:1,0:2,:,:
508,510,2021-12-27,Амур,СКА,1:1,0:1,2:0,:,:
509,511,2021-12-27,Сибирь,Салават Юлаев,0:1,2:1,0:0,1:0,:
510,512,2021-12-27,Барыс,Автомобилист,2:1,0:1,0:0,0:0,1:0
511,513,2021-12-27,Ак Барс,Металлург Мг,1:1,0:0,2:2,1:0,:
512,514,2021-12-27,Торпедо,Спартак,0:1,1:0,0:2,:,:
513,515,2021-12-28,Северсталь,Витязь,0:2,1:0,1:0,0:1,:
514,516,2021-12-28,ХК Сочи,Трактор,1:3,1:0,0:1,:,:
515,517,2021-12-28,ЦСКА,Динамо М,0:0,2:1,1:3,:,:
516,518,2021-12-28,Йокерит,Куньлунь РС,1:0,4:1,2:0,:,:
517,519,2021-12-28,Динамо Р,Авангард,1:0,2:0,0:3,0:1,:
518,520,2021-12-29,Адмирал,СКА,1:0,0:2,0:1,:,:
519,521,2021-12-29,Сибирь,Нефтехимик,0:1,1:0,1:1,1:0,:
520,522,2021-12-29,Барыс,Салават Юлаев,0:1,1:1,0:0,:,:
521,523,2021-12-29,Автомобилист,Ак Барс,0:3,0:0,1:2,:,:
522,524,2021-12-29,Локомотив,Спартак,0:2,0:1,2:1,:,:
523,525,2021-12-29,Динамо Мн,Металлург Мг,1:0,0:0,0:0,:,:
524,526,2021-12-30,Авангард,Трактор,0:2,0:1,1:0,:,:
525,527,2021-12-30,Северсталь,Динамо М,3:0,0:2,1:0,:,:
526,528,2021-12-30,Торпедо,Динамо Р,1:2,2:1,0:0,0:1,:
527,529,2021-12-30,ХК Сочи,Витязь,1:3,1:0,1:1,:,:
528,530,2021-12-30,ЦСКА,Йокерит,1:1,1:1,0:1,:,:
529,531,2022-01-03,Адмирал,Амур,0:2,3:3,0:0,:,:
530,532,2022-01-03,Сибирь,Ак Барс,1:1,1:2,0:3,:,:
531,533,2022-01-03,Барыс,Динамо Р,1:0,2:1,4:0,:,:
532,534,2022-01-03,Салават Юлаев,Металлург Мг,0:0,2:3,1:0,0:1,:
533,536,2022-01-03,Локомотив,Динамо М,0:0,1:1,0:1,:,:
534,537,2022-01-03,Нефтехимик,Торпедо,0:1,0:0,2:0,:,:
535,538,2022-01-03,Северсталь,Динамо Мн,1:2,0:2,2:1,:,:
536,539,2022-01-03,ЦСКА,Авангард,0:1,3:0,0:1,:,:
537,535,2022-01-04,Куньлунь РС,СКА,0:3,1:0,0:2,:,:
538,541,2022-01-05,Амур,Ак Барс,0:1,0:0,1:0,0:0,0:1
539,542,2022-01-05,Сибирь,Спартак,0:0,0:1,1:0,0:0,0:1
540,543,2022-01-05,Барыс,Металлург Мг,0:1,2:1,1:0,:,:
541,544,2022-01-05,Салават Юлаев,Динамо Р,2:2,2:0,2:2,:,:
542,545,2022-01-05,Трактор,Локомотив,1:0,1:1,1:2,1:0,:
543,547,2022-01-05,Витязь,Динамо Мн,2:0,1:1,0:2,0:0,0:1
544,548,2022-01-05,ХК Сочи,Торпедо,1:0,0:2,0:0,:,:
545,549,2022-01-05,ЦСКА,Нефтехимик,0:0,0:1,1:0,1:0,:
546,550,2022-01-05,Йокерит,Динамо М,2:0,1:1,2:0,:,:
547,551,2022-01-06,Куньлунь РС,Северсталь,0:3,1:3,0:1,:,:
548,552,2022-01-07,Адмирал,Ак Барс,1:2,2:0,1:0,:,:
549,553,2022-01-07,Амур,Спартак,0:1,1:1,1:0,1:0,:
550,554,2022-01-07,Металлург Мг,Локомотив,3:1,0:0,0:0,:,:
551,555,2022-01-07,Авангард,Динамо Мн,1:0,1:0,1:0,:,:
552,556,2022-01-07,СКА,Торпедо,0:0,2:0,1:0,:,:
553,557,2022-01-07,ХК Сочи,Нефтехимик,0:0,1:1,3:0,:,:
554,558,2022-01-07,ЦСКА,Витязь,0:1,2:0,1:2,0:1,:
555,560,2022-01-08,Куньлунь РС,Трактор,0:0,0:4,0:0,:,:
556,562,2022-01-09,Адмирал,Спартак,1:0,2:1,1:2,:,:
557,563,2022-01-09,Амур,Сибирь,0:1,0:0,0:0,:,:
558,565,2022-01-09,Металлург Мг,Барыс,1:1,1:2,1:0,0:1,:
559,566,2022-01-09,Северсталь,ХК Сочи,1:0,2:0,1:2,:,:
560,567,2022-01-09,Витязь,Авангард,0:3,1:0,0:1,:,:
561,568,2022-01-09,Динамо М,Нефтехимик,0:1,2:1,1:1,0:0,0:1
562,570,2022-01-10,Амур,Сибирь,0:1,0:1,2:0,0:0,0:1
563,571,2022-01-10,Куньлунь РС,Трактор,0:2,1:1,1:1,:,:
564,574,2022-01-11,Витязь,Северсталь,1:0,0:1,1:1,0:1,:
565,575,2022-01-11,Динамо М,Йокерит,0:0,1:1,1:2,:,:
566,576,2022-01-11,СКА,Ак Барс,1:2,0:0,0:1,:,:
567,578,2022-01-12,Адмирал,Сибирь,0:0,1:1,1:0,:,:
568,580,2022-01-12,Нефтехимик,Трактор,2:1,0:1,2:0,:,:
569,582,2022-01-13,Автомобилист,Северсталь,2:0,2:2,1:0,:,:
570,588,2022-01-13,СКА,ХК Сочи,1:0,0:0,1:1,:,:
571,589,2022-01-14,Адмирал,Сибирь,2:2,0:0,1:0,:,:
